customer_id,age,gender,country,subscription_type,monthly_charges,tenure_months,num_profiles,device,payment_method,autopay_enabled,watch_hours_per_week,favorite_genre,avg_rating_given,support_tickets_raised,last_login_days_ago,promo_used,churn
CUST100029,33,Female,USA,Basic,198,3,5,Laptop,PayPal,Yes,7.0,Action,1.1,0,41,No,Yes
CUST100030,45,Other,Australia,Basic,200,44,1,Tablet,UPI,Yes,8.7,Romance,3.5,1,70,No,No
CUST100031,24,Male,USA,Standard,494,55,2,Smart TV,Net Banking,Yes,3.9,Thriller,4.2,0,51,No,No
CUST100032,70,Female,Canada,Premium,651,28,4,Laptop,UPI,Yes,9.1,Drama,4.6,1,45,Yes,Yes
CUST100033,34,Male,India,Premium,642,44,1,Laptop,Credit Card,No,30.6,Comedy,2.9,2,88,No,No
CUST100034,73,Female,Brazil,Standard,501,17,4,Smart TV,UPI,Yes,8.3,Documentary,4.7,0,39,No,No
CUST100035,56,Female,India,Standard,505,38,5,Laptop,PayPal,Yes,3.3,Comedy,1.8,2,57,No,Yes
CUST100036,37,Female,Mexico,Standard,489,47,5,Mobile,UPI,Yes,2.7,Action,3.1,0,23,No,No
CUST100037,61,Female,India,Basic,193,30,2,Smart TV,Credit Card,No,26.4,Anime,1.9,0,68,No,No
CUST100038,39,Male,Mexico,Basic,205,2,5,Gaming Console,Credit Card,No,1.6,Documentary,1.8,1,84,No,Yes
CUST100039,71,Female,USA,Premium,656,8,1,Mobile,Debit Card,Yes,13.1,Romance,4.8,0,39,No,No
CUST100040,54,Female,Brazil,Standard,495,14,2,Mobile,Net Banking,No,5.0,Horror,4.3,1,19,Yes,Yes
CUST100041,40,Male,USA,Premium,654,37,4,Laptop,Credit Card,Yes,4.7,Comedy,1.0,0,28,Yes,No
CUST100042,72,Female,France,Basic,196,35,2,Gaming Console,UPI,Yes,11.0,Documentary,2.1,1,36,No,No
CUST100043,28,Female,India,Standard,500,42,4,Tablet,UPI,Yes,1.3,Comedy,1.8,1,19,No,Yes
CUST100044,27,Male,India,Basic,202,39,3,Mobile,Net Banking,Yes,5.0,Romance,1.6,0,17,No,No
CUST100045,74,Female,UK,Basic,207,11,1,Mobile,PayPal,Yes,0.3,Drama,3.8,0,3,No,No
CUST100046,74,Female,India,Standard,499,15,1,Smart TV,Net Banking,Yes,8.9,Drama,3.3,1,10,No,No
CUST100047,59,Male,India,Basic,200,2,4,Mobile,UPI,Yes,0.5,Drama,2.8,0,63,No,Yes
CUST100048,74,Other,France,Basic,201,37,5,Tablet,Net Banking,Yes,0.7,Comedy,1.8,0,85,No,Yes
CUST100049,63,Male,Japan,Basic,196,43,5,Laptop,Debit Card,Yes,14.9,Documentary,2.1,0,51,Yes,No
CUST100050,56,Male,USA,Basic,189,32,3,Smart TV,Debit Card,No,4.7,Drama,2.4,1,42,No,Yes
CUST100051,67,Male,France,Standard,497,40,4,Smart TV,PayPal,No,1.8,Thriller,4.1,2,13,No,Yes
CUST100052,64,Female,Canada,Standard,490,13,3,Tablet,Debit Card,No,7.2,Thriller,5.0,1,44,No,Yes
CUST100053,69,Female,USA,Basic,202,43,4,Laptop,Net Banking,Yes,5.9,Horror,1.7,1,27,No,No
CUST100054,15,Male,Brazil,Basic,201,17,3,Mobile,Debit Card,Yes,4.2,Drama,2.4,0,3,No,No
CUST100055,49,Male,Germany,Basic,204,15,4,Mobile,Debit Card,No,18.9,Drama,2.1,2,15,Yes,No
CUST100056,63,Female,Japan,Standard,490,33,1,Smart TV,Debit Card,No,11.1,Horror,1.2,1,37,No,No
CUST100057,19,Male,USA,Basic,192,51,3,Laptop,UPI,No,1.3,Action,1.9,0,62,Yes,Yes
CUST100058,33,Female,Germany,Premium,650,16,3,Mobile,Credit Card,Yes,6.8,Anime,4.6,0,22,Yes,No
CUST100059,21,Female,India,Basic,204,51,4,Laptop,Credit Card,Yes,0.7,Thriller,4.4,1,76,No,No
CUST100060,51,Female,India,Basic,198,13,2,Mobile,Net Banking,Yes,2.2,Horror,1.7,0,19,Yes,No
CUST100061,30,Other,India,Premium,641,55,2,Mobile,Net Banking,Yes,19.3,Anime,2.5,0,68,No,No
CUST100062,16,Male,Japan,Standard,492,22,1,Smart TV,Credit Card,No,5.0,Thriller,2.2,0,82,No,No
CUST100063,37,Other,Australia,Basic,194,23,5,Tablet,UPI,Yes,17.8,Drama,1.6,0,20,No,No
CUST100064,72,Female,Australia,Premium,643,36,5,Tablet,UPI,Yes,1.5,Horror,3.5,0,41,No,Yes
CUST100065,26,Female,UK,Standard,506,43,1,Laptop,Debit Card,Yes,1.8,Romance,3.2,0,68,No,No
CUST100066,62,Male,USA,Premium,641,50,5,Tablet,UPI,Yes,3.5,Action,2.7,0,13,Yes,No
CUST100067,70,Female,India,Standard,498,50,4,Laptop,UPI,Yes,3.6,Documentary,4.4,0,69,No,No
CUST100068,21,Male,USA,Standard,499,10,2,Smart TV,UPI,No,10.9,Action,3.5,0,4,No,No
CUST100069,38,Male,USA,Premium,657,17,1,Laptop,PayPal,Yes,7.3,Horror,2.0,0,23,Yes,No
CUST100070,65,Male,Brazil,Basic,202,30,4,Smart TV,UPI,Yes,6.4,Action,2.5,0,28,No,No
CUST100071,14,Female,Canada,Standard,499,13,1,Mobile,Debit Card,Yes,7.4,Thriller,1.6,0,1,No,No
CUST100072,32,Female,India,Standard,492,30,2,Smart TV,UPI,Yes,10.5,Drama,3.4,1,5,No,No
CUST100073,40,Female,India,Basic,194,57,5,Mobile,UPI,Yes,17.9,Drama,3.3,0,33,Yes,No
CUST100074,59,Female,India,Basic,205,46,4,Laptop,UPI,Yes,4.3,Anime,4.5,1,75,Yes,Yes
CUST100075,72,Male,USA,Basic,207,30,2,Smart TV,UPI,Yes,13.0,Drama,4.4,1,21,Yes,No
CUST100076,19,Female,France,Standard,501,7,1,Smart TV,UPI,No,5.5,Action,4.3,0,3,Yes,No
CUST100077,56,Male,Germany,Standard,498,10,3,Laptop,Debit Card,Yes,10.2,Anime,3.2,0,5,Yes,No
CUST100078,73,Female,Australia,Standard,499,35,4,Laptop,Debit Card,Yes,16.6,Anime,3.6,1,66,No,No
CUST100079,20,Female,UK,Basic,194,2,1,Mobile,UPI,No,0.3,Action,4.1,1,76,No,Yes
CUST100080,59,Female,USA,Standard,490,30,1,Smart TV,PayPal,No,6.3,Romance,1.4,2,62,No,No
CUST100081,47,Female,India,Premium,639,19,2,Mobile,Debit Card,No,36.4,Comedy,2.2,2,86,No,No
CUST100082,26,Male,Mexico,Standard,499,39,1,Laptop,Debit Card,Yes,5.5,Horror,1.7,1,89,No,No
CUST100083,29,Male,Australia,Standard,504,37,4,Laptop,PayPal,No,16.0,Documentary,3.0,0,72,No,No
CUST100084,48,Female,India,Premium,641,60,4,Smart TV,Credit Card,Yes,1.6,Comedy,4.4,1,86,No,No
CUST100085,62,Male,UK,Premium,643,3,1,Gaming Console,Credit Card,Yes,7.4,Romance,1.9,0,67,No,Yes
CUST100086,52,Male,UK,Standard,503,25,2,Smart TV,UPI,No,16.3,Documentary,3.9,1,33,No,No
CUST100087,16,Female,Germany,Premium,653,34,4,Smart TV,Credit Card,Yes,4.5,Anime,2.6,0,71,Yes,No
CUST100088,14,Female,France,Standard,492,55,3,Mobile,Debit Card,No,5.3,Comedy,4.6,1,33,No,Yes
CUST100089,74,Male,Canada,Premium,642,58,5,Smart TV,Debit Card,Yes,0.7,Comedy,3.5,0,56,No,No
CUST100090,18,Male,Canada,Basic,196,22,2,Gaming Console,PayPal,Yes,0.3,Comedy,4.9,1,36,No,No
CUST100091,66,Female,India,Basic,195,38,2,Smart TV,Debit Card,Yes,5.1,Comedy,2.0,0,5,No,No
CUST100092,54,Female,India,Basic,205,14,5,Smart TV,UPI,No,14.8,Action,4.7,1,70,No,No
CUST100093,16,Male,India,Premium,653,39,5,Mobile,UPI,Yes,21.4,Documentary,2.4,2,44,No,No
CUST100094,66,Male,India,Standard,493,54,4,Mobile,UPI,Yes,8.6,Romance,3.5,0,40,No,No
CUST100095,41,Male,Brazil,Basic,201,2,1,Smart TV,Credit Card,Yes,14.0,Comedy,1.7,1,4,No,No
CUST100096,30,Male,Brazil,Basic,192,32,1,Smart TV,PayPal,No,10.6,Comedy,4.0,1,59,No,No
CUST100097,38,Male,India,Premium,655,43,3,Smart TV,Credit Card,No,9.7,Romance,4.9,0,66,No,No
CUST100098,56,Female,Mexico,Premium,655,53,1,Mobile,Credit Card,Yes,11.7,Drama,4.1,0,16,Yes,No
CUST100099,46,Female,India,Standard,502,3,3,Laptop,Credit Card,Yes,5.6,Action,3.5,0,82,Yes,No
CUST100100,22,Female,USA,Standard,502,41,3,Laptop,Debit Card,Yes,4.9,Thriller,2.8,0,64,No,Yes
CUST100101,74,Male,USA,Standard,505,8,2,Mobile,PayPal,No,1.4,Drama,2.4,1,54,Yes,Yes
CUST100102,48,Female,USA,Standard,496,26,2,Mobile,UPI,No,14.9,Romance,2.7,1,8,No,Yes
CUST100103,26,Male,USA,Premium,640,32,4,Tablet,Debit Card,No,0.4,Thriller,2.3,1,3,No,No
CUST100104,43,Other,UK,Basic,201,11,5,Mobile,Net Banking,Yes,2.5,Comedy,4.3,0,41,Yes,Yes
CUST100105,60,Female,USA,Standard,504,50,5,Smart TV,Credit Card,No,5.9,Documentary,4.6,0,45,Yes,No
CUST100106,27,Male,Japan,Basic,204,1,3,Mobile,UPI,Yes,28.5,Anime,4.8,0,73,Yes,No
CUST100107,20,Female,India,Standard,494,15,5,Laptop,PayPal,Yes,12.3,Thriller,2.7,2,0,No,No
CUST100108,26,Male,India,Standard,492,4,3,Mobile,PayPal,Yes,3.7,Horror,3.2,1,86,Yes,No
CUST100109,35,Female,India,Standard,491,4,5,Smart TV,Credit Card,Yes,10.0,Anime,3.3,2,16,No,No
CUST100110,72,Male,Germany,Basic,194,28,4,Smart TV,UPI,Yes,21.4,Anime,3.6,1,78,No,Yes
CUST100111,69,Male,India,Standard,492,10,2,Laptop,Debit Card,Yes,6.2,Horror,1.0,1,6,Yes,No
CUST100112,74,Female,Mexico,Basic,206,11,2,Smart TV,Debit Card,Yes,5.0,Horror,4.4,1,4,Yes,No
CUST100113,52,Male,UK,Basic,194,50,3,Mobile,UPI,Yes,6.4,Thriller,2.1,0,51,No,Yes
CUST100114,33,Female,Canada,Basic,193,23,5,Smart TV,PayPal,Yes,3.0,Thriller,2.9,1,52,Yes,No
CUST100115,28,Male,Canada,Premium,647,47,1,Smart TV,Credit Card,Yes,19.0,Anime,4.4,0,2,No,No
CUST100116,57,Female,India,Standard,499,3,4,Smart TV,Credit Card,No,12.8,Documentary,5.0,0,61,Yes,No
CUST100117,30,Female,India,Standard,494,39,5,Smart TV,Credit Card,Yes,9.8,Drama,4.2,0,31,No,No
CUST100118,59,Female,USA,Standard,504,39,1,Smart TV,Credit Card,No,7.1,Action,1.1,2,1,Yes,No
CUST100119,65,Male,Canada,Standard,507,17,4,Laptop,Credit Card,Yes,27.9,Documentary,2.5,1,79,No,No
CUST100120,36,Male,India,Standard,499,22,4,Mobile,Net Banking,Yes,2.8,Drama,2.0,0,80,No,No
CUST100121,38,Male,India,Standard,503,52,2,Laptop,Debit Card,Yes,2.7,Comedy,4.9,0,52,No,No
CUST100122,37,Male,Japan,Standard,497,27,3,Smart TV,Credit Card,Yes,2.2,Drama,2.1,1,11,No,No
CUST100123,72,Female,India,Standard,507,56,5,Tablet,UPI,Yes,10.8,Thriller,4.8,0,4,No,No
CUST100124,72,Female,Australia,Standard,507,16,4,Gaming Console,PayPal,No,12.8,Drama,4.8,1,3,No,No
CUST100125,72,Female,Australia,Premium,647,16,5,Smart TV,PayPal,Yes,7.3,Anime,4.4,2,55,Yes,Yes
CUST100126,57,Female,USA,Premium,642,40,4,Gaming Console,PayPal,Yes,8.4,Drama,1.4,2,79,No,Yes
CUST100127,53,Female,India,Basic,198,3,2,Smart TV,Credit Card,Yes,3.4,Anime,1.0,1,81,No,No
CUST100128,41,Female,India,Basic,197,52,3,Laptop,PayPal,Yes,0.3,Horror,4.2,0,63,No,No
CUST100129,27,Male,Brazil,Standard,507,47,1,Smart TV,UPI,Yes,2.3,Comedy,4.4,2,44,No,No
CUST100130,57,Female,Germany,Basic,203,33,1,Mobile,UPI,Yes,7.0,Comedy,4.8,0,59,No,No
CUST100131,13,Female,Australia,Basic,207,42,2,Mobile,Net Banking,Yes,13.4,Drama,1.9,1,19,Yes,No
CUST100132,37,Female,France,Premium,640,2,4,Mobile,PayPal,No,12.0,Documentary,3.9,1,52,Yes,No
CUST100133,19,Male,Brazil,Basic,198,39,2,Laptop,PayPal,Yes,1.6,Anime,3.1,0,72,Yes,No
CUST100134,21,Male,India,Premium,657,46,3,Mobile,Credit Card,Yes,0.4,Comedy,2.3,0,15,Yes,No
CUST100135,36,Male,USA,Standard,505,48,1,Mobile,UPI,Yes,15.2,Thriller,3.4,0,29,Yes,No
CUST100136,13,Female,Mexico,Premium,658,27,5,Gaming Console,Net Banking,Yes,0.6,Anime,3.2,0,19,Yes,Yes
CUST100137,56,Female,India,Basic,190,60,1,Tablet,UPI,No,4.0,Documentary,2.2,0,85,No,Yes
CUST100138,20,Male,India,Basic,207,15,3,Gaming Console,Credit Card,No,0.8,Romance,2.1,0,86,Yes,No
CUST100139,36,Other,Brazil,Standard,505,7,4,Tablet,PayPal,Yes,6.6,Drama,2.9,0,51,No,No
CUST100140,23,Male,USA,Basic,206,45,2,Smart TV,Credit Card,Yes,3.6,Romance,2.9,0,35,Yes,No
CUST100141,63,Male,France,Basic,205,57,1,Smart TV,PayPal,No,1.8,Anime,2.2,1,21,Yes,No
CUST100142,29,Male,Germany,Basic,190,42,1,Smart TV,Net Banking,Yes,7.2,Horror,2.1,0,0,No,No
CUST100143,20,Female,India,Basic,207,9,5,Gaming Console,Debit Card,Yes,3.6,Thriller,4.8,0,20,Yes,No
CUST100144,47,Female,France,Basic,189,41,2,Smart TV,Debit Card,Yes,1.5,Thriller,4.4,0,47,No,Yes
CUST100145,47,Male,USA,Premium,649,6,5,Mobile,Debit Card,Yes,9.6,Horror,4.3,1,82,No,Yes
CUST100146,45,Female,USA,Basic,198,56,5,Smart TV,Net Banking,No,14.5,Horror,1.9,1,71,No,No
CUST100147,71,Male,USA,Basic,193,57,4,Smart TV,UPI,No,2.6,Documentary,1.8,0,4,No,No
CUST100148,17,Female,India,Standard,504,12,1,Smart TV,UPI,Yes,1.7,Drama,4.2,0,39,No,No
CUST100149,54,Female,UK,Premium,643,30,2,Mobile,UPI,Yes,0.6,Thriller,1.7,1,81,Yes,No
CUST100150,51,Female,India,Basic,200,55,4,Smart TV,Debit Card,Yes,6.0,Romance,3.0,1,78,No,Yes
CUST100151,70,Male,USA,Basic,192,20,4,Mobile,Debit Card,No,14.2,Anime,1.9,0,44,No,No
CUST100152,53,Other,USA,Standard,494,20,4,Laptop,PayPal,No,2.3,Romance,2.5,1,30,No,No
CUST100153,40,Female,Australia,Premium,657,54,3,Laptop,Net Banking,Yes,4.9,Comedy,4.4,1,14,Yes,No
CUST100154,19,Male,Australia,Premium,647,46,3,Smart TV,Credit Card,No,1.4,Horror,4.6,3,57,Yes,No
CUST100155,21,Female,India,Standard,500,27,4,Tablet,Credit Card,Yes,4.1,Comedy,5.0,1,52,No,No
CUST100156,20,Male,USA,Basic,203,20,3,Laptop,Debit Card,Yes,0.1,Documentary,4.8,1,44,No,No
CUST100157,24,Female,USA,Standard,504,59,2,Smart TV,UPI,Yes,19.3,Anime,3.7,0,66,No,No
CUST100158,46,Male,India,Basic,201,7,1,Laptop,Debit Card,Yes,9.0,Anime,2.7,2,41,Yes,Yes
CUST100159,45,Female,Australia,Standard,495,40,2,Laptop,Net Banking,Yes,3.2,Anime,1.2,2,23,Yes,No
CUST100160,60,Female,Brazil,Standard,508,40,1,Mobile,Credit Card,Yes,17.0,Comedy,3.4,1,37,Yes,No
CUST100161,67,Male,India,Premium,642,30,3,Smart TV,Credit Card,Yes,1.6,Anime,1.8,1,50,Yes,No
CUST100162,35,Male,USA,Basic,199,8,2,Mobile,Credit Card,Yes,0.7,Action,4.4,0,23,No,No
CUST100163,74,Male,India,Basic,196,2,5,Laptop,Net Banking,Yes,22.9,Drama,3.2,0,76,No,No
CUST100164,36,Male,Germany,Standard,494,14,4,Smart TV,Credit Card,Yes,3.0,Thriller,3.9,0,32,No,No
CUST100165,49,Male,India,Standard,498,10,1,Laptop,UPI,Yes,22.0,Thriller,3.7,0,18,Yes,No
CUST100166,47,Female,Japan,Premium,645,50,1,Mobile,Debit Card,Yes,8.1,Documentary,2.4,0,24,No,No
CUST100167,56,Male,Australia,Basic,195,18,5,Mobile,UPI,No,31.3,Documentary,4.0,1,69,Yes,Yes
CUST100168,52,Male,USA,Basic,192,18,5,Mobile,Credit Card,Yes,11.2,Thriller,4.4,0,88,No,Yes
CUST100169,34,Female,Canada,Standard,491,16,4,Smart TV,UPI,Yes,0.9,Comedy,4.0,0,86,Yes,No
CUST100170,39,Male,France,Basic,195,52,3,Tablet,Debit Card,Yes,15.3,Documentary,4.1,1,48,No,No
CUST100171,47,Female,Canada,Premium,642,5,2,Laptop,Net Banking,Yes,1.3,Action,2.4,0,16,Yes,No
CUST100172,13,Female,India,Standard,501,52,2,Smart TV,PayPal,Yes,9.4,Documentary,4.8,0,20,No,No
CUST100173,47,Female,USA,Premium,658,31,2,Mobile,Debit Card,Yes,5.6,Comedy,2.7,1,42,No,No
CUST100174,49,Female,Mexico,Standard,505,37,3,Laptop,Net Banking,Yes,9.8,Drama,4.6,0,83,No,Yes
CUST100175,59,Female,Germany,Premium,645,20,4,Laptop,Credit Card,Yes,11.6,Action,4.4,1,75,Yes,Yes
CUST100176,26,Male,Germany,Basic,205,23,2,Laptop,PayPal,Yes,13.0,Documentary,1.5,2,76,No,No
CUST100177,15,Male,Mexico,Premium,642,32,1,Mobile,Debit Card,Yes,14.4,Drama,4.9,1,81,No,No
CUST100178,13,Male,Mexico,Basic,199,42,1,Gaming Console,Debit Card,Yes,15.0,Drama,5.0,0,21,Yes,No
CUST100179,17,Female,France,Standard,491,17,1,Laptop,Credit Card,Yes,4.3,Horror,3.4,1,62,No,No
CUST100180,38,Male,India,Basic,199,13,5,Smart TV,UPI,Yes,17.6,Horror,4.1,0,23,Yes,No
CUST100181,67,Female,Canada,Standard,491,49,5,Mobile,Credit Card,No,10.2,Romance,4.7,1,32,No,Yes
CUST100182,26,Other,Brazil,Basic,200,50,3,Mobile,UPI,Yes,14.6,Thriller,1.1,0,66,No,No
CUST100183,51,Female,Brazil,Basic,189,13,2,Laptop,Credit Card,No,36.2,Comedy,4.7,0,80,No,No
CUST100184,39,Female,Germany,Premium,642,17,5,Smart TV,PayPal,Yes,1.0,Thriller,3.5,0,16,No,No
CUST100185,21,Male,India,Basic,202,60,1,Mobile,UPI,Yes,3.7,Romance,4.3,0,47,No,No
CUST100186,27,Female,Australia,Premium,639,15,5,Smart TV,PayPal,Yes,13.1,Comedy,3.2,2,43,No,No
CUST100187,27,Female,Brazil,Premium,652,26,1,Smart TV,PayPal,Yes,0.7,Romance,3.1,0,24,No,No
CUST100188,38,Male,India,Basic,201,44,2,Mobile,Credit Card,No,6.2,Drama,4.6,1,71,No,No
CUST100189,54,Male,UK,Standard,501,28,3,Laptop,Credit Card,Yes,15.6,Documentary,3.0,1,59,No,No
CUST100190,72,Female,India,Basic,203,42,4,Mobile,Debit Card,Yes,0.2,Comedy,2.9,0,28,Yes,No
CUST100191,25,Female,USA,Basic,205,45,4,Mobile,Net Banking,Yes,22.4,Comedy,3.4,0,11,No,No
CUST100192,63,Female,India,Standard,500,30,1,Mobile,UPI,Yes,30.6,Drama,3.1,0,8,No,No
CUST100193,44,Female,USA,Premium,652,43,5,Mobile,PayPal,No,3.1,Action,2.8,0,89,No,No
CUST100194,51,Female,Canada,Basic,200,35,5,Mobile,Net Banking,No,11.6,Drama,1.7,0,85,No,No
CUST100195,61,Female,Germany,Standard,506,22,1,Smart TV,Net Banking,Yes,1.1,Romance,2.6,0,52,No,Yes
CUST100196,64,Male,Germany,Standard,492,10,2,Smart TV,UPI,Yes,11.9,Drama,2.1,0,60,No,No
CUST100197,73,Male,Mexico,Premium,652,11,1,Laptop,UPI,Yes,5.3,Horror,2.6,0,30,Yes,No
CUST100198,44,Male,India,Basic,207,38,2,Mobile,Net Banking,No,15.7,Comedy,3.4,0,47,Yes,No
CUST100199,16,Female,India,Standard,501,33,3,Laptop,PayPal,Yes,1.9,Drama,3.4,1,78,No,Yes
CUST100200,42,Female,Mexico,Standard,506,6,3,Mobile,UPI,No,8.9,Thriller,2.0,1,46,Yes,No
CUST100201,49,Female,India,Standard,499,37,1,Smart TV,UPI,Yes,12.3,Drama,1.3,0,32,No,No
CUST100202,35,Male,Japan,Premium,644,7,3,Laptop,UPI,Yes,1.8,Documentary,4.0,0,66,Yes,No
CUST100203,51,Female,Mexico,Premium,647,54,5,Smart TV,Debit Card,No,13.6,Anime,3.1,0,63,No,No
CUST100204,57,Female,UK,Basic,200,44,2,Tablet,PayPal,No,25.4,Drama,2.8,1,16,No,No
CUST100205,27,Female,Japan,Standard,507,12,4,Smart TV,UPI,Yes,7.7,Drama,1.5,1,43,No,Yes
CUST100206,55,Female,India,Standard,502,7,4,Mobile,Credit Card,Yes,12.3,Anime,2.7,1,4,No,No
CUST100207,41,Male,USA,Basic,203,2,3,Smart TV,Credit Card,Yes,6.1,Documentary,4.3,1,61,No,No
CUST100208,48,Female,Germany,Standard,499,60,2,Tablet,Net Banking,Yes,7.3,Action,3.3,0,62,No,No
CUST100209,25,Male,USA,Standard,494,1,5,Gaming Console,UPI,Yes,0.1,Horror,1.4,1,78,Yes,Yes
CUST100210,44,Male,France,Standard,502,23,4,Smart TV,Debit Card,No,5.9,Action,2.3,1,38,No,No
CUST100211,19,Female,India,Premium,641,25,5,Smart TV,Credit Card,Yes,6.9,Horror,4.9,0,71,No,No
CUST100212,71,Female,Canada,Basic,207,18,5,Smart TV,UPI,Yes,8.9,Action,3.2,0,41,No,No
CUST100213,63,Female,Canada,Premium,658,44,4,Laptop,Credit Card,Yes,1.5,Thriller,2.1,1,20,Yes,No
CUST100214,34,Female,Germany,Standard,499,7,4,Smart TV,UPI,Yes,2.2,Documentary,4.7,0,46,Yes,No
CUST100215,40,Female,USA,Standard,505,51,3,Mobile,UPI,Yes,11.3,Thriller,2.3,1,73,No,No
CUST100216,14,Female,USA,Premium,655,54,2,Smart TV,UPI,Yes,1.5,Thriller,3.9,1,27,Yes,No
CUST100217,54,Female,Mexico,Standard,491,3,1,Laptop,Net Banking,Yes,4.3,Romance,1.6,0,20,No,No
CUST100218,57,Male,India,Standard,502,29,2,Mobile,Credit Card,Yes,2.3,Thriller,1.6,0,27,No,No
CUST100219,74,Male,Australia,Standard,495,10,1,Laptop,Debit Card,Yes,6.3,Documentary,3.2,1,85,Yes,No
CUST100220,69,Male,Canada,Standard,507,59,4,Laptop,Credit Card,No,34.7,Comedy,2.0,0,18,No,No
CUST100221,65,Male,Brazil,Premium,641,59,5,Smart TV,Credit Card,No,15.3,Comedy,1.2,1,62,No,Yes
CUST100222,18,Male,Brazil,Premium,640,43,2,Mobile,Credit Card,No,2.5,Action,4.7,0,51,No,Yes
CUST100223,40,Male,India,Basic,205,5,5,Mobile,PayPal,Yes,3.7,Thriller,1.2,0,37,Yes,No
CUST100224,40,Male,Canada,Basic,197,34,2,Mobile,Debit Card,Yes,20.1,Anime,3.9,1,45,No,Yes
CUST100225,56,Other,Mexico,Standard,494,8,2,Smart TV,Net Banking,No,18.3,Action,2.3,0,23,Yes,No
CUST100226,56,Male,UK,Basic,197,14,5,Laptop,Credit Card,Yes,1.4,Thriller,4.7,0,44,No,No
CUST100227,32,Female,Japan,Standard,493,40,3,Gaming Console,UPI,No,14.1,Action,4.9,1,76,No,No
CUST100228,42,Male,UK,Basic,190,55,4,Gaming Console,Net Banking,Yes,2.8,Drama,2.3,1,8,No,No
CUST100229,74,Female,India,Standard,503,6,3,Laptop,Credit Card,Yes,6.3,Documentary,3.4,0,8,No,No
